고객번호,가입개월,요금제,월요금,월사용량GB,고객센터문의,연체횟수,이탈여부
C00569,24,표준,48155,10.7,1,0,유지
C00570,6,프리미엄,74333,14.8,5,1,유지
C00571,34,프리미엄,80142,16.6,2,0,유지
C00572,48,알뜰,25427,11.2,2,2,유지
C00573,55,표준,41668,12.6,1,0,유지
C00574,27,표준,41703,6.7,0,0,유지
C00575,7,표준,43758,11.1,3,0,유지
C00576,34,표준,42507,12.9,1,0,유지
C00577,6,알뜰,24530,3.6,1,1,유지
C00578,48,표준,46611,10.1,0,0,유지
C00579,4,알뜰,20532,5.9,2,0,유지
C00580,27,표준,43956,16.7,1,0,유지
C00581,53,표준,49369,11.2,1,1,유지
C00582,51,표준,43868,10.9,0,0,유지
C00583,52,표준,43485,6.8,1,0,유지
C00584,17,알뜰,27014,9.4,0,0,유지
C00585,41,알뜰,25358,9.2,2,0,유지
C00586,39,알뜰,21354,7.3,0,0,유지
C00587,23,프리미엄,79888,17.9,1,0,유지
C00588,4,표준,41296,13.1,1,0,유지
C00589,45,프리미엄,80684,18.5,1,0,유지
C00590,26,알뜰,29498,7.5,4,0,유지
C00591,6,표준,44273,14.4,2,0,유지
C00592,12,프리미엄,80067,18.2,2,1,유지
C00593,1,프리미엄,78055,17.0,0,1,이탈
C00594,46,표준,43076,12.4,0,0,유지
C00595,15,표준,45015,8.1,0,0,유지
C00596,49,표준,44083,7.9,2,2,유지
C00597,10,표준,42061,14.9,3,0,유지
C00598,51,알뜰,22426,1.5,0,0,유지
C00599,48,프리미엄,79138,13.0,0,0,유지
C00600,32,알뜰,23747,3.5,2,0,유지
C00601,5,표준,46361,9.8,2,0,유지
C00602,25,표준,46206,8.9,1,0,유지
C00603,26,표준,45665,13.0,0,0,유지
C00604,27,표준,44489,10.4,0,0,유지
C00605,54,표준,41948,3.3,0,1,유지
C00606,39,표준,45378,7.4,0,0,유지
C00607,44,프리미엄,77253,18.2,0,0,유지
C00608,51,알뜰,18864,0.5,2,0,유지
C00609,57,표준,45177,13.0,1,0,유지
C00610,19,표준,46839,12.6,0,0,유지
C00611,18,표준,48969,10.2,2,1,유지
C00612,58,프리미엄,76143,17.6,2,0,유지
C00613,7,표준,48355,5.3,2,0,유지
C00614,29,표준,43561,11.1,2,0,유지
C00615,32,표준,45798,12.0,0,0,유지
C00616,36,표준,48443,6.5,3,0,유지
C00617,3,알뜰,22278,6.6,1,0,유지
C00618,2,알뜰,21403,9.5,4,0,유지
C00619,45,프리미엄,75761,23.2,2,1,유지
C00620,14,표준,47914,12.4,1,0,유지
C00621,17,표준,43119,11.0,1,0,유지
C00622,36,알뜰,22684,6.5,0,0,이탈
C00623,15,표준,44998,8.5,0,1,유지
C00624,46,프리미엄,79259,18.0,1,1,유지
C00625,50,알뜰,25700,7.2,1,1,유지
C00626,19,알뜰,23507,2.8,0,2,유지
C00627,24,프리미엄,83351,16.0,3,1,유지
C00628,34,프리미엄,82583,18.3,2,2,유지
C00629,32,표준,44938,8.9,0,0,유지
C00630,11,표준,42162,14.6,2,0,유지
C00631,36,프리미엄,77547,14.1,1,1,유지
C00632,6,프리미엄,77414,17.7,4,0,유지
C00633,52,알뜰,25627,6.4,0,1,유지
C00634,38,표준,45158,12.9,1,1,유지
C00635,24,알뜰,23651,3.6,2,3,유지
C00636,34,알뜰,18476,2.9,1,1,유지
C00637,45,프리미엄,79550,17.3,2,1,유지
C00638,36,표준,49143,9.9,4,1,유지
C00639,59,표준,45396,9.7,0,1,유지
C00640,7,알뜰,20062,8.4,2,0,유지
C00641,14,표준,44669,8.5,1,0,유지
C00642,25,프리미엄,78599,20.8,2,0,유지
C00643,20,알뜰,22394,6.7,0,0,유지
C00644,36,프리미엄,78290,21.6,0,1,유지
C00645,46,알뜰,22971,7.3,2,0,유지
C00646,54,알뜰,20182,7.8,1,0,유지
C00647,53,알뜰,21572,6.2,0,2,유지
C00648,12,알뜰,21301,6.1,1,1,유지
C00649,18,프리미엄,77329,12.6,0,0,유지
C00650,50,표준,40672,15.0,0,1,유지
C00651,58,표준,45294,15.6,1,0,유지
C00652,47,표준,45969,9.6,2,1,유지
C00653,52,알뜰,18877,8.7,1,1,유지
C00654,4,표준,48791,9.9,1,0,유지
C00655,2,표준,44309,13.4,3,0,유지
C00656,42,알뜰,21577,3.2,2,1,유지
C00657,19,알뜰,23093,5.9,0,0,유지
C00658,55,표준,44980,12.4,0,1,유지
C00659,7,알뜰,24190,5.0,2,3,이탈
C00660,35,알뜰,24449,8.3,1,2,유지
C00661,56,프리미엄,72497,14.9,1,1,유지
C00662,26,프리미엄,77777,16.2,0,0,유지
C00663,49,표준,47082,14.2,0,1,유지
C00664,41,프리미엄,79233,15.3,0,0,유지
C00665,33,프리미엄,79871,16.7,0,0,유지
C00666,26,프리미엄,78350,12.8,0,0,유지
C00667,4,표준,44138,8.3,3,0,유지
C00668,33,표준,41885,9.7,2,1,유지
C00669,14,프리미엄,82211,22.4,1,0,유지
C00670,43,알뜰,22774,5.0,0,0,유지
C00671,1,표준,45529,13.3,5,2,유지
C00672,19,프리미엄,78798,18.6,0,0,유지
C00673,33,표준,44885,9.7,0,1,유지
C00674,13,표준,45398,8.7,0,0,유지
C00675,3,프리미엄,80879,22.5,3,0,유지
C00676,21,알뜰,23149,4.7,0,1,유지
C00677,23,알뜰,19000,3.7,0,1,유지
C00678,11,표준,44876,5.8,3,1,유지
C00679,9,표준,44004,10.7,6,1,이탈
C00680,51,알뜰,22021,5.9,0,0,유지
C00681,22,프리미엄,77629,18.7,1,0,이탈
C00682,25,알뜰,25460,2.4,2,0,유지
C00683,55,알뜰,19024,1.6,1,0,유지
C00684,3,프리미엄,79476,12.6,3,0,유지
C00685,30,표준,46249,9.2,1,1,유지
C00686,43,표준,43557,8.4,2,0,유지
C00687,19,알뜰,18216,4.2,0,1,유지
C00688,52,프리미엄,77892,19.3,3,0,유지
C00689,52,알뜰,18090,3.6,3,0,유지
C00690,46,알뜰,24908,7.5,0,2,유지
C00691,36,프리미엄,79470,11.1,0,1,유지
C00692,43,표준,39093,13.5,0,0,유지
C00693,47,프리미엄,78117,17.3,0,0,유지
C00694,20,표준,43804,9.0,1,2,유지
C00695,18,표준,42808,10.3,0,0,유지
C00696,14,표준,42649,9.9,0,0,유지
C00697,8,표준,48636,12.4,1,2,유지
C00698,40,알뜰,19588,5.0,1,0,유지
C00699,19,표준,42943,15.7,1,0,유지
C00700,26,프리미엄,80376,12.7,0,0,유지
C00701,52,표준,44548,8.9,0,1,유지
C00702,3,표준,40705,9.8,2,0,유지
C00703,21,알뜰,28750,7.4,1,0,유지
C00704,4,표준,45705,5.6,3,0,유지
C00705,31,프리미엄,75657,15.8,0,0,유지
C00706,30,프리미엄,84559,23.3,2,1,유지
C00707,31,알뜰,23015,5.7,1,1,유지
C00708,36,표준,45629,15.7,4,0,유지
C00709,28,알뜰,21100,2.3,1,1,유지
C00710,26,알뜰,23832,6.0,0,0,유지
C00711,12,표준,46050,12.0,0,0,유지
C00712,54,알뜰,22609,4.0,1,1,유지
C00713,54,표준,48165,9.6,0,0,유지
C00714,2,표준,44780,8.7,3,0,유지
C00715,27,표준,42933,11.9,0,0,유지
C00716,28,표준,42221,13.3,0,1,유지
C00717,23,프리미엄,79890,21.8,2,0,유지
C00718,11,알뜰,22908,7.2,4,1,유지
C00719,48,알뜰,20900,6.3,0,1,유지
C00720,44,알뜰,24696,2.1,1,2,유지
C00721,10,표준,46632,19.3,0,0,유지
C00722,11,표준,43473,17.5,2,0,유지
C00723,29,표준,41485,5.2,1,1,유지
C00724,16,알뜰,20609,8.2,1,0,유지
C00725,46,알뜰,19173,6.7,1,0,유지
C00726,35,표준,44574,10.2,1,0,유지
C00727,29,표준,45637,9.2,2,1,유지
C00728,47,프리미엄,79154,20.0,0,0,유지
C00729,2,프리미엄,72486,20.7,2,0,유지
C00730,5,프리미엄,76561,22.1,2,1,이탈
C00731,11,표준,45796,8.9,3,0,유지
C00732,22,표준,46073,10.2,0,1,유지
C00733,56,표준,45352,13.8,3,1,유지
C00734,40,표준,43781,12.0,3,0,유지
C00735,13,프리미엄,77970,17.8,0,1,유지
C00736,18,표준,47372,11.0,1,2,유지
C00737,45,프리미엄,77157,20.3,1,0,유지
C00738,6,표준,43156,8.8,0,0,유지
C00739,44,알뜰,23433,2.4,0,0,유지
C00740,34,표준,46807,14.3,0,1,유지
C00741,5,표준,42198,12.5,5,1,유지
C00742,28,표준,43327,8.3,1,0,유지
C00743,7,알뜰,18483,5.5,3,0,유지
C00744,9,표준,44565,11.9,3,0,이탈
C00745,7,알뜰,22812,9.8,0,1,유지
C00746,33,알뜰,21319,7.5,2,0,유지
C00747,36,표준,42603,11.7,2,0,유지
C00748,31,알뜰,19495,3.4,0,2,유지
C00749,33,표준,45003,11.1,3,0,유지
C00750,21,표준,47072,7.3,1,1,유지
C00751,37,표준,45409,12.2,0,2,유지
C00752,35,표준,45105,17.3,1,0,유지
C00753,16,표준,48315,8.7,3,0,유지
C00754,57,알뜰,21382,8.9,1,0,유지
C00755,51,알뜰,21288,11.3,2,0,유지
C00756,2,알뜰,19616,0.7,2,1,유지
C00757,57,알뜰,25247,8.1,1,1,유지
C00758,47,표준,47496,9.6,0,2,유지
C00759,32,표준,44848,11.8,1,0,유지
C00760,56,알뜰,22613,4.9,0,0,유지
C00761,52,표준,42332,11.0,1,1,유지
C00762,54,표준,43216,12.7,1,0,유지
C00763,48,프리미엄,78340,17.5,0,1,유지
C00764,12,프리미엄,79516,18.9,0,0,유지
C00765,6,알뜰,16023,7.1,3,1,유지
C00766,8,표준,48464,11.9,2,0,유지
C00767,21,알뜰,23746,5.5,1,0,유지
C00768,51,알뜰,19141,4.8,0,1,이탈
C00769,53,프리미엄,78575,16.3,1,0,유지
C00770,34,프리미엄,76770,23.0,1,2,유지
C00771,23,표준,43256,6.7,0,1,유지
C00772,40,프리미엄,76562,23.6,0,0,유지
C00773,41,표준,43530,12.9,0,0,유지
C00774,28,알뜰,22131,9.5,1,0,유지
C00775,31,프리미엄,78356,17.6,1,0,유지
C00776,31,알뜰,24292,9.7,2,0,유지
C00777,34,알뜰,21469,5.9,0,0,유지
C00778,37,프리미엄,76012,15.4,1,0,유지
C00779,58,표준,45321,10.5,2,0,유지
C00780,33,알뜰,23122,3.3,0,0,유지
C00781,6,프리미엄,78168,24.7,1,0,유지
C00782,51,알뜰,24980,8.0,1,0,유지
C00783,29,표준,44215,11.5,0,0,유지
C00784,36,표준,41755,11.1,1,0,유지
C00785,6,표준,46356,16.3,3,1,유지
C00786,10,알뜰,23515,10.1,5,2,유지
C00787,10,프리미엄,77886,19.8,2,0,유지
C00788,58,표준,45095,10.6,0,0,유지
C00789,11,알뜰,19336,6.5,2,0,유지
C00790,10,표준,44494,14.7,2,1,유지
C00791,40,표준,45378,8.8,1,1,이탈
C00792,50,표준,44487,11.6,0,0,유지
C00793,59,알뜰,18579,6.5,1,0,유지
C00794,8,프리미엄,78136,16.0,2,0,유지
C00795,33,표준,42776,13.8,0,1,유지
C00796,24,표준,45657,10.6,0,2,유지
C00797,41,프리미엄,78229,16.1,2,1,유지
C00798,4,알뜰,23426,3.3,2,0,유지
C00799,7,알뜰,19728,6.3,3,0,유지
C00800,45,표준,45301,7.1,0,1,유지
C00801,16,표준,45732,9.0,1,0,유지
C00802,19,표준,45322,10.5,1,0,유지
C00803,22,프리미엄,80595,16.1,0,1,유지
C00804,24,표준,42387,10.4,0,2,유지
C00805,5,표준,46811,11.7,6,0,유지
C00806,11,표준,47303,4.8,3,0,유지
C00807,31,알뜰,21945,7.1,0,0,이탈
C00808,30,알뜰,19460,4.3,0,0,유지
C00809,15,알뜰,21679,5.1,0,0,유지
C00810,42,표준,44975,12.3,2,1,유지
C00811,58,표준,45231,12.2,0,0,유지
C00812,36,프리미엄,80460,15.8,0,1,유지
C00813,46,알뜰,23353,2.5,2,0,유지
C00814,53,표준,41250,10.0,0,0,유지
C00815,49,알뜰,24229,0.5,0,0,유지
C00816,4,알뜰,17566,7.0,4,1,유지
C00817,31,프리미엄,76100,14.0,1,0,유지
C00818,32,프리미엄,73644,17.2,0,1,유지
C00819,29,프리미엄,78745,16.0,0,0,유지
C00820,15,알뜰,20576,9.2,4,1,유지
C00821,35,알뜰,24391,9.3,0,0,유지
C00822,25,알뜰,20055,3.4,1,0,유지
C00823,20,알뜰,22163,8.6,0,3,유지
C00824,31,표준,48457,9.8,1,1,유지
C00825,5,표준,44103,9.0,1,0,유지
C00826,15,프리미엄,80743,18.3,1,0,유지
C00827,56,프리미엄,78618,15.2,0,0,유지
C00828,46,표준,45090,10.3,3,1,이탈
C00829,48,표준,41616,6.4,2,0,유지
C00830,31,알뜰,21865,3.7,0,1,유지
C00831,53,프리미엄,82097,19.0,1,4,유지
C00832,6,알뜰,21786,3.1,4,0,유지
C00833,9,알뜰,23025,9.7,2,0,유지
C00834,14,표준,48320,12.7,0,0,유지
C00835,13,표준,43392,8.0,0,1,유지
C00836,16,표준,45133,11.6,1,0,유지
C00837,54,표준,45186,9.3,0,0,유지
C00838,16,프리미엄,76480,20.6,0,0,유지
C00839,51,표준,46267,14.2,2,1,유지
C00840,41,표준,48048,8.4,1,0,유지
C00841,29,알뜰,23278,0.8,0,0,이탈
C00842,49,알뜰,21883,10.1,0,0,유지
C00843,26,알뜰,22387,4.1,1,0,유지
C00844,47,표준,40942,9.0,2,0,유지
C00845,2,표준,45964,11.3,0,0,유지
C00846,21,표준,42522,6.3,1,1,유지
C00847,4,표준,47371,14.6,0,0,유지
C00848,18,프리미엄,75963,17.0,0,2,유지
C00849,42,알뜰,24225,3.1,0,1,유지
C00850,30,알뜰,20489,13.1,0,0,유지
C00851,22,알뜰,20621,13.2,0,1,유지
C00852,56,표준,40891,12.0,0,0,유지
C00853,32,표준,45666,12.3,1,1,유지
C00854,20,알뜰,22591,8.4,1,0,유지
C00855,10,알뜰,24308,3.2,3,1,이탈
C00856,55,프리미엄,75810,8.5,1,1,유지
C00857,16,알뜰,17884,8.5,2,0,유지
C00858,27,표준,46858,9.6,0,0,유지
C00859,14,알뜰,15468,5.5,0,0,유지
C00860,53,알뜰,19141,7.0,0,1,유지
C00861,39,알뜰,23840,8.0,0,0,유지
C00862,58,표준,44358,15.2,1,2,유지
C00863,23,프리미엄,74477,17.7,0,0,유지
C00864,9,알뜰,21053,2.9,3,2,이탈
C00865,55,프리미엄,80927,18.9,1,1,유지
C00866,22,프리미엄,77315,19.7,0,0,유지
C00867,21,표준,43797,12.3,0,1,유지
C00868,20,프리미엄,80425,21.3,0,1,유지
C00869,53,알뜰,20277,8.0,1,0,유지
C00870,41,알뜰,22115,8.1,0,1,유지
C00871,58,알뜰,24818,6.8,0,0,유지
C00872,41,프리미엄,73766,14.6,0,1,유지
C00873,29,표준,42938,17.8,1,0,유지
C00874,28,표준,46534,7.5,0,1,유지
C00875,13,알뜰,21548,1.4,1,0,유지
C00876,2,표준,49056,10.7,2,0,유지
C00877,52,표준,44494,16.6,2,2,유지
C00878,7,표준,44979,12.2,2,0,유지
C00879,23,알뜰,18327,8.9,3,0,유지
C00880,35,알뜰,19119,0.5,1,0,유지
C00881,28,표준,48373,10.9,2,0,유지
C00882,39,표준,42988,9.7,0,0,유지
C00883,49,알뜰,22285,6.2,0,0,유지
C00884,42,표준,43988,12.8,1,1,유지
C00885,2,프리미엄,83387,21.5,5,1,유지
C00886,22,알뜰,17727,8.8,1,1,유지
C00887,16,알뜰,23041,7.6,0,0,유지
C00888,2,표준,44677,14.9,2,0,유지
C00889,58,알뜰,19157,3.3,1,2,유지
C00890,20,알뜰,20945,3.3,2,0,유지
C00891,8,표준,46197,9.6,3,1,유지
C00892,19,표준,51617,9.9,3,1,유지
C00893,51,알뜰,24967,3.6,2,1,유지
C00894,1,표준,46294,11.0,1,0,유지
C00895,25,표준,45333,13.1,0,1,유지
C00896,19,표준,41376,13.6,1,0,유지
C00897,2,프리미엄,74460,17.5,5,0,유지
C00898,54,표준,46116,10.0,1,1,유지
C00899,18,표준,41173,10.1,1,0,유지
C00900,49,표준,47626,9.7,0,1,유지
C00901,7,표준,46230,11.8,4,0,유지
C00902,5,표준,48404,6.6,2,0,유지
C00903,57,표준,45778,9.2,1,1,유지
C00904,4,표준,42824,9.6,6,0,이탈
C00905,45,표준,47925,19.6,1,0,유지
C00906,5,알뜰,19551,4.9,7,0,유지
C00907,23,알뜰,22088,2.4,1,0,유지
C00908,38,표준,44564,11.3,3,0,유지
C00909,7,표준,43047,7.7,1,0,유지
C00910,50,알뜰,21686,9.5,0,3,유지
C00911,44,프리미엄,78202,28.4,1,0,유지
C00912,35,알뜰,19933,6.6,0,1,유지
C00913,8,알뜰,25641,3.8,2,1,유지
C00914,8,프리미엄,76800,20.0,1,0,유지
C00915,15,표준,44049,13.0,2,0,유지
C00916,15,표준,46229,13.5,1,0,유지
C00917,33,프리미엄,77241,19.4,0,0,유지
C00918,1,알뜰,21787,11.4,1,1,유지
C00919,57,프리미엄,78373,20.2,0,1,유지
C00920,49,표준,40753,11.9,1,2,유지
C00921,19,표준,49435,13.4,1,0,유지
C00922,47,알뜰,19419,1.8,0,0,유지
C00923,53,표준,40717,9.1,3,0,유지
C00924,7,프리미엄,78750,21.5,4,1,유지
C00925,21,표준,45866,9.9,0,0,유지
C00926,36,알뜰,22373,4.4,0,1,유지
C00927,2,프리미엄,75787,19.8,2,0,유지
C00928,13,프리미엄,75625,23.4,1,0,유지
C00929,28,표준,44957,11.2,1,2,유지
C00930,25,프리미엄,77631,16.0,1,1,유지
C00931,20,표준,47296,10.1,1,0,유지
C00932,9,표준,44735,10.5,1,0,유지
C00933,51,표준,46184,14.1,1,0,유지
C00934,28,표준,44707,7.5,0,0,유지
C00935,52,표준,40493,12.1,2,1,유지
C00936,11,알뜰,19636,8.5,2,0,유지
C00937,18,알뜰,25446,5.5,1,2,이탈
C00938,13,표준,45525,8.9,1,2,유지
C00939,58,알뜰,24955,5.4,1,0,유지
C00940,18,알뜰,21911,14.4,1,0,이탈
C00941,8,프리미엄,77850,19.3,2,2,유지
C00942,4,프리미엄,76723,20.9,3,0,유지
C00943,30,알뜰,24705,1.6,1,0,유지
C00944,45,알뜰,25786,5.0,2,0,유지
C00945,50,프리미엄,75866,14.8,0,0,유지
C00946,58,프리미엄,78721,18.7,1,0,유지
C00947,11,알뜰,20261,4.3,2,0,유지
C00948,39,알뜰,22389,7.7,0,1,유지
C00949,43,표준,41465,10.3,0,0,유지
C00950,8,프리미엄,74690,21.1,7,0,유지
C00951,13,표준,46397,11.2,1,2,유지
C00952,24,표준,45594,10.6,0,1,유지
C00953,18,프리미엄,77844,17.4,0,2,유지
C00954,30,표준,48589,9.0,0,2,유지
C00955,8,표준,43270,11.0,2,0,유지
C00956,11,표준,44651,13.5,0,0,유지
C00957,28,프리미엄,81080,14.8,1,0,유지
C00958,50,프리미엄,78027,19.6,0,1,유지
C00959,54,알뜰,20696,6.8,1,0,유지
C00960,16,표준,47389,9.4,3,0,유지
C00961,40,프리미엄,77644,16.5,0,0,유지
C00962,47,알뜰,21119,12.4,0,1,유지
C00963,36,표준,41986,15.0,1,1,유지
C00964,17,알뜰,18269,4.6,1,0,유지
C00965,33,알뜰,17922,5.2,1,1,유지
C00966,11,표준,42486,5.6,6,0,유지
C00967,56,표준,44113,12.5,3,1,유지
C00968,48,프리미엄,78700,14.2,3,0,유지
C00969,42,표준,41373,11.5,2,2,유지
C00970,43,알뜰,22409,6.7,1,0,유지
C00971,35,표준,48227,5.2,3,3,유지
C00972,20,알뜰,25371,8.9,2,1,유지
C00973,16,표준,43580,13.8,2,2,유지
C00974,25,표준,51477,12.4,2,0,유지
C00975,31,알뜰,23855,7.4,0,1,유지
C00976,46,프리미엄,80592,17.3,1,1,유지
C00977,41,알뜰,26201,8.3,2,1,유지
C00978,26,표준,42551,11.6,0,2,유지
C00979,31,표준,43983,10.7,0,1,유지
C00980,31,표준,45081,9.0,1,0,유지
C00981,36,표준,45875,9.6,0,2,유지
C00982,55,알뜰,19349,5.6,1,0,유지
C00983,30,알뜰,24231,9.4,0,4,유지
C00984,21,알뜰,20618,7.9,2,0,유지
C00985,37,알뜰,22836,2.4,1,3,유지
C00986,1,알뜰,23710,9.2,1,0,이탈
C00987,28,표준,43474,14.4,2,0,유지
C00988,26,표준,48517,11.2,1,0,유지
C00989,53,프리미엄,76007,20.5,2,1,유지
C00990,33,프리미엄,72898,14.9,0,1,유지
C00991,17,알뜰,24764,3.1,0,2,유지
C00992,59,표준,44800,7.8,2,0,유지
C00993,25,표준,41042,13.1,0,0,유지
C00994,59,표준,44160,11.9,0,0,유지
C00995,46,알뜰,22843,0.5,1,0,이탈
C00996,7,알뜰,21632,5.5,2,0,유지
C00997,32,프리미엄,79631,12.8,0,1,유지
C00998,12,표준,42737,11.9,2,0,유지
C00999,25,표준,45015,10.3,1,2,유지
C01000,45,표준,43850,13.2,1,2,유지
C01001,38,표준,44019,10.4,0,0,유지
C01002,43,표준,45697,10.7,2,0,유지
C01003,28,알뜰,24496,9.1,1,0,유지
C01004,19,알뜰,21329,11.8,0,0,이탈
C01005,54,표준,43882,11.6,0,0,유지
C01006,39,프리미엄,79606,22.3,0,0,유지
C01007,29,알뜰,22431,12.3,0,0,이탈
C01008,30,알뜰,16341,8.3,2,0,유지
C01009,47,알뜰,21424,2.8,3,0,유지
C01010,21,프리미엄,76490,20.3,0,0,유지
C01011,23,프리미엄,75266,16.5,0,0,유지
C01012,44,표준,43144,10.7,1,0,유지
C01013,26,표준,42959,14.2,0,0,유지
C01014,43,표준,49364,11.9,2,0,유지
C01015,30,표준,43240,9.3,0,0,유지
C01016,54,알뜰,20620,1.0,0,1,유지
C01017,27,프리미엄,72869,20.4,0,0,유지
C01018,48,표준,43955,10.6,0,0,유지
C01019,39,프리미엄,79415,18.6,0,1,유지
C01020,51,프리미엄,75980,14.2,2,0,유지
C01021,17,알뜰,22761,2.4,2,1,이탈
C01022,38,프리미엄,78173,19.6,1,0,유지
C01023,4,프리미엄,77393,16.7,1,1,유지
C01024,12,알뜰,28390,6.7,2,2,유지
C01025,29,프리미엄,75580,19.4,0,0,유지
C01026,17,알뜰,22218,10.1,0,0,유지
C01027,14,알뜰,18336,10.3,2,2,이탈
C01028,43,표준,46734,8.1,0,0,유지
C01029,12,알뜰,19869,1.0,2,0,유지
C01030,47,표준,43106,10.4,1,0,유지
C01031,39,표준,46306,12.2,1,2,유지
C01032,30,표준,42872,8.5,1,0,유지
C01033,15,알뜰,23622,9.3,1,0,이탈
C01034,5,프리미엄,73017,18.0,1,0,유지
C01035,4,표준,46507,11.4,6,1,유지
C01036,30,알뜰,19636,5.9,1,0,유지
C01037,14,표준,39467,11.1,0,2,유지
C01038,21,알뜰,24042,6.2,1,1,유지
C01039,50,프리미엄,81713,18.9,0,0,유지
C01040,50,표준,45540,10.1,3,0,유지
C01041,14,표준,48673,10.6,1,0,유지
C01042,51,프리미엄,79742,20.1,2,0,유지
C01043,40,프리미엄,75708,18.7,1,2,유지
C01044,35,표준,48595,12.6,1,0,유지
C01045,23,프리미엄,77344,19.0,0,0,유지
C01046,34,알뜰,24327,4.8,1,0,유지
C01047,30,프리미엄,78586,19.7,0,0,유지
C01048,56,프리미엄,75753,16.0,1,1,유지
C01049,21,표준,43753,13.6,0,0,유지
C01050,11,표준,41924,4.6,2,0,유지
C01051,2,알뜰,22875,8.7,1,0,유지
C01052,22,알뜰,18351,3.6,0,0,유지
C01053,4,표준,49491,13.9,2,1,유지
C01054,28,표준,44938,10.1,1,2,유지
C01055,34,표준,40801,10.6,1,2,유지
C01056,44,프리미엄,78146,16.5,0,0,유지
C01057,37,알뜰,18891,3.0,2,0,유지
C01058,59,표준,47989,17.2,1,0,유지
C01059,10,표준,45694,12.7,2,1,유지
C01060,41,표준,42055,8.4,0,2,유지
C01061,41,알뜰,24926,1.1,1,0,유지
C01062,50,표준,47045,12.5,0,1,유지
C01063,48,표준,45867,10.0,1,1,유지
C01064,33,프리미엄,74775,19.1,0,0,유지
C01065,8,알뜰,19232,7.5,0,1,유지
C01066,39,표준,50496,16.9,2,0,유지
C01067,34,표준,40401,13.2,1,1,유지
C01068,58,알뜰,22436,1.6,0,0,유지
C01069,55,표준,45188,14.4,1,0,유지
C01070,35,알뜰,18615,4.5,0,0,유지
C01071,52,표준,41049,9.9,0,2,이탈
C01072,17,표준,40554,19.6,1,0,유지
C01073,55,프리미엄,80197,18.1,0,1,유지
C01074,1,알뜰,19293,3.6,4,0,유지
C01075,11,알뜰,23912,2.0,4,3,유지
C01076,42,표준,46156,9.0,1,0,유지
C01077,29,알뜰,21763,3.3,1,1,유지
C01078,26,알뜰,20757,10.1,2,1,유지
C01079,26,프리미엄,76351,17.7,3,0,유지
C01080,17,알뜰,22172,9.9,0,0,유지
C01081,46,표준,43211,15.7,0,0,유지
C01082,13,알뜰,18370,1.8,1,0,유지
C01083,49,프리미엄,76839,14.2,2,1,유지
C01084,54,표준,49026,6.9,1,3,유지
C01085,8,표준,48056,8.3,2,0,유지
C01086,32,프리미엄,76344,20.7,0,0,유지
C01087,26,알뜰,17595,3.7,0,0,유지
C01088,38,표준,41693,9.2,1,2,유지
C01089,48,표준,42475,10.7,0,1,유지
C01090,59,표준,45184,12.1,3,2,유지
C01091,55,표준,44478,8.3,2,0,유지
C01092,2,표준,47174,12.7,4,0,유지
C01093,37,표준,48912,5.1,0,0,유지
C01094,14,알뜰,21338,12.3,0,0,유지
C01095,52,표준,47244,15.6,0,1,유지
C01096,14,알뜰,22703,7.5,1,0,유지
C01097,21,표준,42710,15.0,3,1,유지
C01098,35,알뜰,20477,7.5,0,0,이탈
C01099,31,표준,42403,10.8,2,0,유지
C01100,10,표준,39952,8.9,2,0,유지
C01101,35,알뜰,23880,9.3,1,1,유지
C01102,40,표준,47272,5.3,3,0,유지
C01103,19,표준,46225,13.4,1,1,유지
C01104,3,표준,44099,11.0,0,1,유지
C01105,21,프리미엄,78154,26.3,1,2,유지
C01106,49,표준,45680,9.1,1,0,유지
C01107,44,표준,45141,15.1,1,0,유지
C01108,4,표준,43745,15.0,1,0,유지
C01109,28,프리미엄,77543,14.3,0,0,유지
C01110,13,표준,44682,12.0,0,0,유지
C01111,27,표준,46959,7.1,4,0,이탈
C01112,37,알뜰,24369,3.9,2,1,유지
C01113,14,표준,41945,12.3,0,1,유지
C01114,13,알뜰,28128,2.6,2,0,유지
C01115,30,알뜰,23100,6.1,1,0,유지
C01116,49,표준,43076,9.5,1,0,유지
C01117,48,프리미엄,74017,14.3,0,0,유지
C01118,27,표준,45807,14.1,0,0,유지
C01119,34,알뜰,24381,4.0,0,1,유지
C01120,16,알뜰,19772,5.5,0,1,유지
C01121,40,알뜰,20861,8.1,0,0,유지
C01122,55,알뜰,25965,0.5,1,1,유지
C01123,14,프리미엄,80169,10.5,0,1,유지
C01124,11,표준,46564,13.1,1,0,유지
C01125,51,프리미엄,79350,20.3,0,1,유지
C01126,55,알뜰,26865,8.1,1,0,유지
C01127,29,표준,43640,9.7,0,0,유지
C01128,20,표준,45639,13.1,0,0,유지
C01129,8,알뜰,20556,3.2,1,0,유지
C01130,18,프리미엄,75062,22.6,2,0,유지
C01131,12,표준,40956,9.5,0,0,유지
C01132,1,표준,43262,13.7,2,0,유지
C01133,9,알뜰,19839,1.9,3,1,유지
C01134,54,알뜰,20289,9.4,0,0,유지
C01135,32,표준,46224,12.8,0,0,유지
C01136,37,알뜰,20568,2.1,1,0,유지
C01137,59,프리미엄,75614,19.9,1,0,유지
C01138,28,알뜰,20714,0.5,0,0,유지
C01139,18,표준,43297,8.6,2,0,유지
C01140,41,표준,44091,13.3,0,2,유지
C01141,51,알뜰,24728,6.3,1,0,유지
