날짜,매장,방문객수,객단가,매출액,날씨,프로모션
2024-06-22,판교점,779,24603,19171889,맑음,없음
2024-06-23,강남점,817,24226,19780980,맑음,없음
2024-06-23,일산점,515,25183,12966783,맑음,없음
2024-06-23,판교점,584,25626,14958013,흐림,없음
2024-06-24,강남점,785,20474,16072349,맑음,없음
2024-06-24,일산점,470,26442,12415623,맑음,없음
2024-06-24,판교점,552,26380,14570674,맑음,없음
2024-06-25,강남점,993,21960,21805154,맑음,진행
2024-06-25,일산점,538,21386,11510547,맑음,없음
2024-06-25,판교점,721,27558,19880698,맑음,없음
2024-06-26,강남점,892,26675,23787333,맑음,진행
2024-06-26,일산점,661,20193,13350629,맑음,진행
2024-06-26,판교점,646,25274,16331660,맑음,없음
2024-06-27,강남점,777,26357,20482725,맑음,없음
2024-06-27,일산점,505,28123,14194295,맑음,없음
2024-06-27,판교점,526,25736,13542837,비,없음
2024-06-28,강남점,891,23305,20762882,흐림,없음
2024-06-28,일산점,637,20066,12772971,흐림,없음
2024-06-28,판교점,901,23073,20777650,맑음,진행
