날짜,생산라인,생산량,설비온도,습도,진동값,압력,라인속도,수율,불량여부
2024-11-21,A라인,1103.2,57.21,44.86,2.885,102.1,128.4,95.53,정상
2024-11-22,C라인,1074.2,48.25,50.16,6.094,101.25,137.0,81.41,불량
2024-11-23,B라인,927.3,54.02,51.19,3.564,101.94,130.1,93.15,정상
2024-11-24,A라인,1054.7,52.36,40.39,3.198,99.72,112.4,92.73,불량
2024-11-25,C라인,1056.6,55.62,51.77,3.064,100.06,107.6,94.54,정상
2024-11-26,A라인,1073.5,53.84,46.33,3.697,101.47,122.4,92.25,불량
2024-11-27,A라인,1229.9,58.44,43.2,2.99,101.9,127.9,95.94,정상
2024-11-28,A라인,1099.2,56.21,44.51,3.203,100.54,111.8,95.58,정상
2024-11-29,B라인,1063.0,56.09,54.6,3.725,100.79,118.4,93.21,정상
2024-11-30,C라인,991.8,54.52,50.78,3.806,100.59,118.9,91.63,불량
2024-12-01,A라인,1067.8,54.0,38.51,3.929,100.79,121.8,92.78,불량
2024-12-02,C라인,1140.5,54.82,47.14,3.592,99.67,120.5,92.11,불량
2024-12-03,C라인,1213.3,56.9,46.34,2.481,99.41,124.7,95.93,정상
2024-12-04,A라인,1214.5,55.21,46.39,3.466,100.9,128.0,92.66,불량
2024-12-05,C라인,1062.2,53.25,45.07,3.945,99.08,122.1,89.35,불량
2024-12-06,A라인,983.2,56.82,41.03,2.735,99.91,126.2,96.53,정상
2024-12-07,B라인,1021.9,54.43,51.67,3.595,100.26,133.7,92.44,불량
2024-12-08,B라인,989.2,53.83,43.77,3.718,99.83,115.6,92.07,불량
2024-12-09,A라인,1126.2,52.26,46.54,3.978,101.25,115.4,90.65,불량
2024-12-10,B라인,1185.3,52.75,45.7,3.904,100.49,124.8,91.36,불량
2024-12-11,A라인,1133.5,52.6,45.34,3.916,100.89,132.9,92.29,불량
2024-12-12,B라인,1104.4,47.86,52.17,6.062,99.87,122.8,82.7,불량
2024-12-13,B라인,1024.4,56.25,50.76,2.876,100.16,128.3,95.63,정상
2024-12-14,B라인,989.4,55.27,46.2,3.368,101.54,119.9,93.74,정상
2024-12-15,B라인,1040.3,53.56,45.19,3.145,101.38,127.3,93.89,정상
2024-12-16,C라인,1153.7,56.35,47.53,2.896,100.46,118.1,94.4,정상
2024-12-17,C라인,1256.6,55.03,54.2,2.804,101.38,125.9,93.82,정상
2024-12-18,C라인,1172.1,54.9,50.62,3.172,101.18,124.2,93.06,정상
2024-12-19,A라인,1144.7,48.66,51.31,5.749,101.15,124.2,84.31,불량
2024-12-20,A라인,1165.7,53.61,48.98,3.672,102.73,130.1,91.44,불량
2024-12-21,B라인,1090.0,55.32,49.5,3.172,100.53,128.3,94.09,정상
2024-12-22,A라인,1080.4,57.72,51.84,2.749,101.43,118.3,96.8,정상
2024-12-23,C라인,1036.7,58.26,42.77,3.092,101.43,127.2,94.74,정상
2024-12-24,B라인,1171.1,57.38,58.52,2.475,100.71,111.8,96.21,정상
2024-12-25,A라인,1244.6,51.72,47.92,4.551,99.69,127.9,89.13,불량
2024-12-26,A라인,1165.1,49.48,49.1,4.799,101.73,138.5,87.71,불량
2024-12-27,C라인,1207.5,55.61,57.88,3.005,101.25,125.2,93.36,정상
2024-12-28,C라인,1075.9,54.45,53.05,3.471,101.02,125.1,92.06,불량
2024-12-29,A라인,1105.4,56.55,52.43,2.695,100.99,122.4,96.84,정상
2024-12-30,B라인,1116.5,54.21,49.81,3.551,100.99,127.1,92.85,불량
2024-12-31,A라인,1192.8,55.01,45.6,3.482,99.98,119.4,92.88,불량
2025-01-01,B라인,1230.9,51.28,53.65,4.134,101.28,126.1,89.0,불량
2025-01-02,B라인,1187.6,55.62,58.38,3.111,98.97,120.5,94.12,정상
2025-01-03,B라인,1131.0,53.71,49.14,3.531,100.93,119.6,91.71,불량
2025-01-04,A라인,1113.6,55.52,59.51,2.613,99.31,122.9,97.4,정상
2025-01-05,B라인,870.0,65.59,48.49,7.076,100.57,121.8,86.13,불량
2025-01-06,B라인,1237.4,54.61,50.44,3.16,101.74,111.8,93.33,정상
2025-01-07,C라인,1204.5,55.63,56.2,3.506,100.67,134.7,92.58,불량
2025-01-08,A라인,1296.8,54.97,54.1,3.046,100.42,123.1,94.4,정상
2025-01-09,A라인,1253.3,56.73,57.39,3.375,101.51,112.1,93.27,정상
2025-01-10,B라인,1240.4,56.24,51.11,2.849,100.65,128.7,95.2,정상
2025-01-11,B라인,1113.6,54.0,49.98,4.095,100.5,122.1,90.17,불량
2025-01-12,B라인,1159.8,53.98,46.39,3.708,100.51,123.5,91.54,불량
2025-01-13,A라인,1182.2,59.19,49.55,2.669,102.61,126.5,96.63,정상
2025-01-14,B라인,1313.0,55.21,50.29,3.456,101.67,116.9,92.65,불량
2025-01-15,B라인,1333.4,57.69,48.88,2.987,101.47,104.6,95.47,정상
2025-01-16,B라인,1242.2,56.46,56.85,3.346,99.63,121.7,93.77,정상
2025-01-17,B라인,1176.9,54.43,52.63,3.916,101.62,123.7,90.88,불량
2025-01-18,A라인,1150.9,54.11,46.83,3.423,99.52,128.3,92.7,불량
2025-01-19,A라인,1200.3,56.11,67.11,2.674,101.47,117.7,95.83,정상
2025-01-20,A라인,1196.3,56.5,52.33,2.196,99.71,120.7,96.57,정상
2025-01-21,B라인,1363.5,57.38,50.59,2.676,103.09,124.7,96.08,정상
2025-01-22,C라인,1329.9,53.33,61.97,3.965,99.08,120.4,89.06,불량
2025-01-23,A라인,1387.0,54.9,61.78,3.412,102.28,120.8,93.91,정상
2025-01-24,B라인,1293.4,56.1,51.5,3.059,101.82,123.8,94.26,정상
2025-01-25,B라인,1164.3,59.93,50.19,2.379,98.98,116.3,97.56,정상
2025-01-26,C라인,1176.0,51.31,52.46,4.276,100.67,131.8,87.64,불량
2025-01-27,A라인,1391.1,57.57,62.18,2.673,102.52,116.8,96.96,정상
2025-01-28,B라인,1382.8,55.52,55.83,3.265,102.18,122.5,93.69,정상
2025-01-29,C라인,1401.9,57.76,53.72,2.229,99.11,120.3,95.58,정상
2025-01-30,C라인,1312.6,55.84,57.36,3.288,100.36,118.1,93.15,정상
2025-01-31,A라인,1252.4,57.83,63.03,2.305,99.64,125.5,97.27,정상
2025-02-01,B라인,1250.8,60.58,51.48,2.392,99.81,128.4,97.79,정상
2025-02-02,C라인,1264.1,58.02,56.13,2.507,100.23,131.1,95.86,정상
2025-02-03,C라인,1273.4,58.31,51.74,2.542,102.96,125.8,95.18,정상
